Re,AoA,CL,CD,CDp,CM,elapsed_s,status
31622.776601683792,-1.0,,,,,0.07815074920654297,fail
31622.776601683792,-0.5,,,,,0.031907081604003906,fail
31622.776601683792,0.0,,,,,0.03231215476989746,fail
31622.776601683792,0.5,,,,,0.10371994972229004,fail
31622.776601683792,1.0,,,,,0.09781813621520996,fail
31622.776601683792,1.5,,,,,0.08906197547912598,fail
31622.776601683792,2.0,,,,,0.03186368942260742,fail
31622.776601683792,2.5,,,,,0.031633853912353516,fail
31622.776601683792,3.0,,,,,0.07446908950805664,fail
31622.776601683792,3.5,,,,,0.029860258102416992,fail
31622.776601683792,4.0,,,,,0.07399606704711914,fail
31622.776601683792,4.5,,,,,0.0683140754699707,fail
31622.776601683792,5.0,,,,,0.05376482009887695,fail
31622.776601683792,5.5,,,,,0.07361388206481934,fail
31622.776601683792,6.0,,,,,0.032562971115112305,fail
31622.776601683792,6.5,,,,,0.06061267852783203,fail
31622.776601683792,7.0,,,,,0.06451892852783203,fail
31622.776601683792,7.5,,,,,0.033653974533081055,fail
31622.776601683792,8.0,,,,,0.053334951400756836,fail
31622.776601683792,8.5,,,,,0.058670997619628906,fail
31622.776601683792,9.0,,,,,0.07300591468811035,fail
31622.776601683792,9.5,,,,,0.029319047927856445,fail
31622.776601683792,10.0,,,,,0.0747220516204834,fail
31622.776601683792,10.5,,,,,0.03324699401855469,fail
31622.776601683792,11.0,,,,,0.05754494667053223,fail
31622.776601683792,11.5,,,,,0.09300899505615234,fail
51794.74679231213,-1.0,,,,,0.06897377967834473,fail
51794.74679231213,-0.5,,,,,0.030792236328125,fail
51794.74679231213,0.0,,,,,0.0287930965423584,fail
51794.74679231213,0.5,,,,,0.02631378173828125,fail
51794.74679231213,1.0,,,,,0.07738113403320312,fail
51794.74679231213,1.5,,,,,0.09138894081115723,fail
51794.74679231213,2.0,,,,,0.03164410591125488,fail
51794.74679231213,2.5,,,,,0.028269052505493164,fail
51794.74679231213,3.0,,,,,0.06710100173950195,fail
51794.74679231213,3.5,,,,,0.03766989707946777,fail
51794.74679231213,4.0,,,,,0.08279681205749512,fail
51794.74679231213,4.5,,,,,0.03215503692626953,fail
51794.74679231213,5.0,,,,,0.06809496879577637,fail
51794.74679231213,5.5,,,,,0.08585810661315918,fail
51794.74679231213,6.0,,,,,0.031114816665649414,fail
51794.74679231213,6.5,,,,,0.035119056701660156,fail
51794.74679231213,7.0,,,,,0.0758049488067627,fail
51794.74679231213,7.5,,,,,0.07517623901367188,fail
51794.74679231213,8.0,,,,,0.029853105545043945,fail
51794.74679231213,8.5,,,,,0.0742640495300293,fail
51794.74679231213,9.0,,,,,0.06843924522399902,fail
51794.74679231213,9.5,,,,,0.07218194007873535,fail
51794.74679231213,10.0,,,,,0.07740592956542969,fail
51794.74679231213,10.5,,,,,0.08237719535827637,fail
51794.74679231213,11.0,,,,,0.029169321060180664,fail
51794.74679231213,11.5,,,,,0.0818948745727539,fail
84834.28982440726,-1.0,,,,,0.06874513626098633,fail
84834.28982440726,-0.5,,,,,0.08173274993896484,fail
84834.28982440726,0.0,,,,,0.07449221611022949,fail
84834.28982440726,0.5,,,,,0.03381609916687012,fail
84834.28982440726,1.0,,,,,0.02893996238708496,fail
84834.28982440726,1.5,,,,,0.02117300033569336,fail
84834.28982440726,2.0,,,,,0.01623392105102539,fail
84834.28982440726,2.5,,,,,0.05789899826049805,fail
84834.28982440726,3.0,,,,,0.03629803657531738,fail
84834.28982440726,3.5,,,,,0.027199983596801758,fail
84834.28982440726,4.0,,,,,0.0686500072479248,fail
84834.28982440726,4.5,,,,,0.04996371269226074,fail
84834.28982440726,5.0,,,,,0.07818078994750977,fail
84834.28982440726,5.5,,,,,0.03124403953552246,fail
84834.28982440726,6.0,,,,,0.0212099552154541,fail
84834.28982440726,6.5,,,,,0.03474092483520508,fail
84834.28982440726,7.0,,,,,0.0787971019744873,fail
84834.28982440726,7.5,,,,,0.025415897369384766,fail
84834.28982440726,8.0,,,,,0.015102386474609375,fail
84834.28982440726,8.5,,,,,0.016541004180908203,fail
84834.28982440726,9.0,,,,,0.017817020416259766,fail
84834.28982440726,9.5,,,,,0.015008926391601562,fail
84834.28982440726,10.0,,,,,0.05801582336425781,fail
84834.28982440726,10.5,,,,,0.09981799125671387,fail
84834.28982440726,11.0,,,,,0.03125500679016113,fail
84834.28982440726,11.5,,,,,0.03632688522338867,fail
138949.5494373136,-1.0,,,,,0.029175758361816406,fail
138949.5494373136,-0.5,,,,,0.08374190330505371,fail
138949.5494373136,0.0,,,,,0.02609872817993164,fail
138949.5494373136,0.5,,,,,0.020025968551635742,fail
138949.5494373136,1.0,,,,,0.014183759689331055,fail
138949.5494373136,1.5,,,,,0.0703878402709961,fail
138949.5494373136,2.0,,,,,0.023832082748413086,fail
138949.5494373136,2.5,,,,,0.05170583724975586,fail
138949.5494373136,3.0,,,,,0.08173203468322754,fail
138949.5494373136,3.5,,,,,0.03135800361633301,fail
138949.5494373136,4.0,,,,,0.0699167251586914,fail
138949.5494373136,4.5,,,,,0.06386494636535645,fail
138949.5494373136,5.0,,,,,0.03373289108276367,fail
138949.5494373136,5.5,,,,,0.031588077545166016,fail
138949.5494373136,6.0,,,,,0.029435157775878906,fail
138949.5494373136,6.5,,,,,0.029774904251098633,fail
138949.5494373136,7.0,,,,,0.08710193634033203,fail
138949.5494373136,7.5,,,,,0.03684878349304199,fail
138949.5494373136,8.0,,,,,0.03130769729614258,fail
138949.5494373136,8.5,,,,,0.02719879150390625,fail
138949.5494373136,9.0,,,,,0.08330798149108887,fail
138949.5494373136,9.5,,,,,0.028595924377441406,fail
138949.5494373136,10.0,,,,,0.03546595573425293,fail
138949.5494373136,10.5,,,,,0.029106855392456055,fail
138949.5494373136,11.0,,,,,0.05786609649658203,fail
138949.5494373136,11.5,,,,,0.043116092681884766,fail
227584.59260747864,-1.0,,,,,0.03122401237487793,fail
227584.59260747864,-0.5,,,,,0.07938313484191895,fail
