  
       XFOIL         Version 6.99
  
 Calculated polar for: E387                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
   0.000   0.4150   0.00000  -0.00030  -0.0837   0.0000   0.0000   0.0000   0.0000
   1.000   0.5321   0.00000  -0.00028  -0.0846   0.0000   0.0000   0.0000   0.0000
   2.000   0.6491   0.00000  -0.00027  -0.0856   0.0000   0.0000   0.0000   0.0000
   3.000   0.7659   0.00000  -0.00027  -0.0867   0.0000   0.0000   0.0000   0.0000
   4.000   0.8824   0.00000  -0.00028  -0.0878   0.0000   0.0000   0.0000   0.0000
   5.000   0.9987   0.00000  -0.00029  -0.0889   0.0000   0.0000   0.0000   0.0000
   6.000   1.1146   0.00000  -0.00031  -0.0900   0.0000   0.0000   0.0000   0.0000
   7.000   1.2302   0.00000  -0.00035  -0.0912   0.0000   0.0000   0.0000   0.0000
   8.000   1.3455   0.00000  -0.00038  -0.0924   0.0000   0.0000   0.0000   0.0000
   9.000   1.4603   0.00000  -0.00043  -0.0937   0.0000   0.0000   0.0000   0.0000
  10.000   1.5747   0.00000  -0.00049  -0.0950   0.0000   0.0000   0.0000   0.0000
