Re,AoA,Cl,Cd,Cm,elapsed_s,status
4999.999999999999,0,0.0872,0.05539,-0.0528,0.0179903507232666,ok
4999.999999999999,1,0.1683,0.05783,-0.0529,0.09775710105895996,ok
4999.999999999999,2,0.2446,0.06111,-0.0529,0.018375873565673828,ok
4999.999999999999,3,0.3161,0.06527,-0.0532,0.01622796058654785,ok
4999.999999999999,4,0.3824,0.07041,-0.0539,0.014563798904418945,ok
4999.999999999999,5,0.4432,0.07663,-0.055,0.014788150787353516,ok
4999.999999999999,6,0.4984,0.08406,-0.0569,0.032351016998291016,ok
4999.999999999999,7,0.5475,0.0928,-0.0595,0.10216593742370605,ok
4999.999999999999,8,0.5908,0.10289,-0.0629,0.015443801879882812,ok
4999.999999999999,9,0.6286,0.1143,-0.0672,0.03084111213684082,ok
4999.999999999999,10,0.6619,0.12691,-0.0724,0.12860894203186035,ok
4999.999999999999,11,0.6925,0.14053,-0.0785,0.039041996002197266,ok
4999.999999999999,12,0.7217,0.15498,-0.0854,0.07688593864440918,ok
9008.241153272058,0,0.1051,0.04397,-0.0567,0.08239603042602539,ok
9008.241153272058,1,0.1878,0.04674,-0.0572,0.023571252822875977,ok
9008.241153272058,2,0.2648,0.05036,-0.0577,0.12587904930114746,ok
9008.241153272058,3,0.3362,0.05492,-0.0584,0.02939009666442871,ok
9008.241153272058,4,0.4019,0.06051,-0.0597,0.10333991050720215,ok
9008.241153272058,5,0.4614,0.06727,-0.0614,0.03755688667297363,ok
9008.241153272058,6,0.5145,0.07532,-0.0638,0.07598090171813965,ok
9008.241153272058,7,0.561,0.08478,-0.0669,0.08634209632873535,ok
9008.241153272058,8,0.6014,0.09574,-0.0708,0.04878520965576172,ok
9008.241153272058,9,0.6364,0.10813,-0.0756,0.08036088943481445,ok
9008.241153272058,10,0.6674,0.12181,-0.081,0.0460820198059082,ok
9008.241153272058,11,0.6962,0.13658,-0.0873,0.10364699363708496,ok
9008.241153272058,12,0.7242,0.15222,-0.0943,0.0265500545501709,ok
16229.681735100863,0,0.124,0.03595,-0.0612,0.10664510726928711,ok
16229.681735100863,1,0.207,0.03907,-0.062,0.023147106170654297,ok
16229.681735100863,2,0.2836,0.04306,-0.063,0.1002049446105957,ok
16229.681735100863,3,0.3543,0.04804,-0.0642,0.07497191429138184,ok
16229.681735100863,4,0.4186,0.05411,-0.0659,0.02625894546508789,ok
16229.681735100863,5,0.4763,0.06142,-0.0681,0.07358527183532715,ok
16229.681735100863,6,0.527,0.0701,-0.071,0.1000819206237793,ok
16229.681735100863,7,0.5711,0.08027,-0.0745,0.0769500732421875,ok
16229.681735100863,8,0.6091,0.09197,-0.0787,0.03628706932067871,ok
16229.681735100863,9,0.6424,0.10516,-0.0836,0.059706926345825195,ok
16229.681735100863,10,0.6724,0.11971,-0.0893,0.09007000923156738,ok
16229.681735100863,11,-0.01234,0.0314,0.0012345,0.08425307273864746,fail
16229.681735100863,12,0.8045,0.16623,-0.1187,0.0625312328338623,ok
29240.177382128637,0,0.1422,0.0305,-0.0661,0.01649785041809082,ok
29240.177382128637,1,0.2248,0.03399,-0.0674,0.016843080520629883,ok
