Re,AoA,Cl,Cd,Cm,elapsed_s,status
1584.893192461114,0.0,0.0566,0.0905,-0.0423,0.08053779602050781,ok
1584.893192461114,1.0,0.1246,0.09204,-0.0411,0.029747962951660156,ok
1584.893192461114,2.0,0.1921,0.09446,-0.0398,0.07791781425476074,ok
1584.893192461114,3.0,0.257,0.09779,-0.0388,0.02965402603149414,ok
1584.893192461114,4.0,0.3191,0.10194,-0.0381,0.08653807640075684,ok
1584.893192461114,5.0,0.3782,0.10694,-0.038,0.09095001220703125,ok
1584.893192461114,6.0,0.4339,0.11283,-0.0384,0.03578495979309082,ok
1584.893192461114,7.0,0.4857,0.11968,-0.0395,0.031166791915893555,ok
1584.893192461114,8.0,0.5335,0.12751,-0.0414,0.0273897647857666,ok
1584.893192461114,9.0,0.5774,0.13645,-0.0442,0.07082390785217285,ok
1584.893192461114,10.0,0.6172,0.14654,-0.0479,0.0913398265838623,ok
1584.893192461114,11.0,0.6532,0.15784,-0.0527,0.10195302963256836,ok
14125.375446227554,0.0,0.0635,0.03638,-0.048,0.03356504440307617,ok
14125.375446227554,1.0,-0.01234,0.314,0.0012345,0.10847806930541992,fail
14125.375446227554,2.0,0.212,0.04293,-0.0482,0.03582406044006348,ok
14125.375446227554,3.0,0.2808,0.04733,-0.0489,0.07921290397644043,ok
14125.375446227554,4.0,0.3458,0.05256,-0.05,0.0746009349822998,ok
14125.375446227554,5.0,0.4065,0.05875,-0.0516,0.08308100700378418,ok
14125.375446227554,6.0,0.4621,0.06607,-0.0539,0.07774496078491211,ok
14125.375446227554,7.0,0.5121,0.07471,-0.0568,0.030416011810302734,ok
14125.375446227554,8.0,0.5549,0.08501,-0.0607,0.050985097885131836,ok
14125.375446227554,9.0,0.5914,0.09712,-0.0657,0.07251572608947754,ok
14125.375446227554,10.0,0.623,0.11097,-0.0717,0.033371925354003906,ok
14125.375446227554,11.0,0.6518,0.12623,-0.0785,0.074462890625,ok
125892.54117941661,0.0,0.4089,0.01349,-0.0888,0.0747828483581543,ok
125892.54117941661,1.0,0.5136,0.01453,-0.0873,0.07463407516479492,ok
125892.54117941661,2.0,0.6179,0.01561,-0.0868,0.09140300750732422,ok
125892.54117941661,3.0,0.7209,0.01703,-0.0856,0.04457688331604004,ok
125892.54117941661,4.0,0.8263,0.01779,-0.0839,0.0328831672668457,ok
125892.54117941661,5.0,0.9278,0.01842,-0.0818,0.07996106147766113,ok
125892.54117941661,6.0,1.0301,0.0156,-0.0755,0.03310108184814453,ok
125892.54117941661,7.0,1.1278,0.0165,-0.0727,0.06641507148742676,ok
125892.54117941661,8.0,1.1362,0.02497,-0.0593,0.07491087913513184,ok
125892.54117941661,9.0,1.1519,0.03347,-0.0475,0.0662229061126709,ok
125892.54117941661,10.0,1.2407,0.04487,-0.0441,0.06588006019592285,ok
125892.54117941661,11.0,1.2496,0.05878,-0.0348,0.07481694221496582,ok
1122018.4543019629,0.0,0.3977,0.00616,-0.08,0.08460521697998047,ok
1122018.4543019629,1.0,0.5097,0.00483,-0.0801,0.03427720069885254,ok
1122018.4543019629,2.0,0.6206,0.00515,-0.0801,0.029057025909423828,ok
1122018.4543019629,3.0,0.7248,0.00617,-0.0792,0.026095151901245117,ok
1122018.4543019629,4.0,0.8188,0.00877,-0.0774,0.029906749725341797,ok
1122018.4543019629,5.0,0.9177,0.01057,-0.0761,0.028010129928588867,ok
1122018.4543019629,6.0,1.0212,0.01167,-0.075,0.027292966842651367,ok
1122018.4543019629,7.0,1.118,0.01343,-0.0729,0.026196002960205078,ok
1122018.4543019629,8.0,-0.01234,0.314,0.0012345,0.08606481552124023,fail
1122018.4543019629,9.0,-0.01234,0.314,0.0012345,0.061731815338134766,fail
1122018.4543019629,10.0,-0.01234,0.314,0.0012345,0.059400320053100586,fail
1122018.4543019629,11.0,-0.01234,0.314,0.0012345,0.06087493896484375,fail
10000000.0,0.0,0.4044,0.00487,-0.0808,0.03207206726074219,ok
10000000.0,1.0,0.5175,0.00452,-0.0813,0.0830380916595459,ok
10000000.0,2.0,0.6173,0.00613,-0.0804,0.03366875648498535,ok
10000000.0,3.0,0.7263,0.00752,-0.0799,0.0434720516204834,ok
10000000.0,4.0,0.8366,0.00759,-0.0804,0.029201030731201172,ok
10000000.0,5.0,0.9426,0.00696,-0.0802,0.07515287399291992,ok
10000000.0,6.0,1.051,0.00755,-0.0803,0.026376008987426758,ok
10000000.0,7.0,1.1581,0.00818,-0.0803,0.08223319053649902,ok
10000000.0,8.0,1.2628,0.00898,-0.08,0.07392001152038574,ok
10000000.0,9.0,1.3647,0.00992,-0.0795,0.032559871673583984,ok
10000000.0,10.0,1.4649,0.01089,-0.0787,0.09246182441711426,ok
10000000.0,11.0,1.56,0.01213,-0.0774,0.07446503639221191,ok
